event_id,object_id,e2o_qualifier
load_trucktr42,tr42,cargo load for truck
weigh_empty_trucktr43,tr43,Truck weighed
load_trucktr43,tr43,cargo load for truck
weigh_empty_trucktr45,tr45,Truck weighed
weigh_empty_trucktr30,tr30,Truck weighed
weigh_empty_trucktr13,tr13,Truck weighed
load_trucktr45,tr45,cargo load for truck
weigh_empty_trucktr7,tr7,Truck weighed
weigh_loaded_trucktr15,tr15,Truck weighed
weigh_empty_trucktr3,tr3,Truck weighed
weigh_empty_trucktr28,tr28,Truck weighed
load_trucktr13,tr13,cargo load for truck
load_trucktr3,tr3,cargo load for truck
weigh_empty_trucktr22,tr22,Truck weighed
weigh_empty_trucktr1,tr1,Truck weighed
weigh_empty_trucktr18,tr18,Truck weighed
load_trucktr22,tr22,cargo load for truck
weigh_empty_trucktr38,tr38,Truck weighed
load_trucktr1,tr1,cargo load for truck
weigh_loaded_trucktr24,tr24,Truck weighed
weigh_empty_trucktr19,tr19,Truck weighed
weigh_empty_trucktr4,tr4,Truck weighed
load_trucktr38,tr38,cargo load for truck
load_trucktr18,tr18,cargo load for truck
load_trucktr30,tr30,cargo load for truck
load_trucktr19,tr19,cargo load for truck
weigh_empty_trucktr34,tr34,Truck weighed
load_trucktr4,tr4,cargo load for truck
weigh_empty_trucktr39,tr39,Truck weighed
weigh_empty_trucktr29,tr29,Truck weighed
weigh_empty_trucktr25,tr25,Truck weighed
load_trucktr34,tr34,cargo load for truck
weigh_empty_trucktr31,tr31,Truck weighed
weigh_loaded_trucktr11,tr11,Truck weighed
load_trucktr29,tr29,cargo load for truck
load_trucktr7,tr7,cargo load for truck
load_trucktr28,tr28,cargo load for truck
weigh_empty_trucktr21,tr21,Truck weighed
weigh_loaded_trucktr43,tr43,Truck weighed
print_w_tickettr15,tr15,Printed weighing ticket for pickup plan
input_tally_sheettr15,tr15,Tally Sheet for pickup plan
eval_trs_exittr15_Pcp29,tr15,Exit evaluation for truck
load_trucktr21,tr21,cargo load for truck
weigh_loaded_trucktr49,tr49,Truck weighed
weigh_empty_trucktr26,tr26,Truck weighed
weigh_empty_trucktr44,tr44,Truck weighed
