event_id,timestamp,activity
load_trucktr27,2024-04-05 10:37:07,Load Truck
load_trucktr27,2024-04-08 16:43:17,Load Truck
load_trucktr27,2024-04-10 09:46:22,Load Truck
weigh_loaded_trucktr23,2024-04-02 10:49:31,Weigh the Loaded Truck
weigh_loaded_trucktr23,2024-04-03 11:43:47,Weigh the Loaded Truck
weigh_loaded_trucktr23,2024-04-04 16:34:57,Weigh the Loaded Truck
weigh_loaded_trucktr23,2024-04-08 15:14:46,Weigh the Loaded Truck
weigh_loaded_trucktr23,2024-04-09 17:21:56,Weigh the Loaded Truck
weigh_loaded_trucktr23,2024-04-11 08:41:09,Weigh the Loaded Truck
weigh_loaded_trucktr2,2024-04-02 10:50:31,Weigh the Loaded Truck
weigh_loaded_trucktr2,2024-04-04 09:47:29,Weigh the Loaded Truck
weigh_loaded_trucktr2,2024-04-05 16:27:42,Weigh the Loaded Truck
weigh_loaded_trucktr2,2024-04-09 14:53:53,Weigh the Loaded Truck
weigh_loaded_trucktr2,2024-04-10 17:01:30,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-04-02 10:51:21,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-04-03 16:36:03,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-04-08 09:46:33,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-04-10 07:54:33,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-04-11 16:13:27,Weigh the Loaded Truck
print_w_tickettr38,2024-04-02 10:54:41,Print the Weighing Ticket
print_w_tickettr38,2024-04-03 15:27:57,Print the Weighing Ticket
print_w_tickettr38,2024-04-04 15:56:32,Print the Weighing Ticket
print_w_tickettr38,2024-04-08 17:13:04,Print the Weighing Ticket
print_w_tickettr38,2024-04-09 16:44:13,Print the Weighing Ticket
print_w_tickettr38,2024-04-11 10:56:51,Print the Weighing Ticket
input_tally_sheettr38,2024-04-02 10:54:41,Input the Tally Sheet
input_tally_sheettr38,2024-04-03 15:27:57,Input the Tally Sheet
input_tally_sheettr38,2024-04-04 15:56:32,Input the Tally Sheet
input_tally_sheettr38,2024-04-08 17:13:04,Input the Tally Sheet
input_tally_sheettr38,2024-04-09 16:44:13,Input the Tally Sheet
input_tally_sheettr38,2024-04-11 10:56:51,Input the Tally Sheet
eval_trs_exittr38_Pcp36,2024-04-02 10:54:41,Evaluate the Truck Exit
weigh_empty_trucktr46,2024-04-02 10:59:44,Weigh the Empty Truck
weigh_empty_trucktr46,2024-04-03 11:27:42,Weigh the Empty Truck
weigh_empty_trucktr46,2024-04-04 14:40:58,Weigh the Empty Truck
weigh_empty_trucktr46,2024-04-08 10:39:24,Weigh the Empty Truck
weigh_empty_trucktr46,2024-04-09 17:16:18,Weigh the Empty Truck
input_tally_sheettr21,2024-04-02 11:02:53,Input the Tally Sheet
input_tally_sheettr21,2024-04-03 17:10:39,Input the Tally Sheet
input_tally_sheettr21,2024-04-08 07:53:26,Input the Tally Sheet
input_tally_sheettr21,2024-04-09 16:20:37,Input the Tally Sheet
input_tally_sheettr21,2024-04-11 11:35:48,Input the Tally Sheet
print_w_tickettr21,2024-04-02 11:02:53,Print the Weighing Ticket
print_w_tickettr21,2024-04-03 17:10:39,Print the Weighing Ticket
print_w_tickettr21,2024-04-08 07:53:26,Print the Weighing Ticket
print_w_tickettr21,2024-04-09 16:20:37,Print the Weighing Ticket
print_w_tickettr21,2024-04-11 11:35:48,Print the Weighing Ticket
eval_trs_exittr21_Pcp52,2024-04-02 11:02:53,Evaluate the Truck Exit
weigh_loaded_trucktr19,2024-04-02 11:05:17,Weigh the Loaded Truck
weigh_loaded_trucktr19,2024-04-03 10:18:09,Weigh the Loaded Truck
weigh_loaded_trucktr19,2024-04-04 15:06:41,Weigh the Loaded Truck
weigh_loaded_trucktr19,2024-04-05 17:51:22,Weigh the Loaded Truck
weigh_loaded_trucktr19,2024-04-09 17:44:47,Weigh the Loaded Truck
eval_trs_exittr50_Pcp84,2024-04-02 11:06:57,Evaluate the Truck Exit
input_tally_sheettr50,2024-04-02 11:06:57,Input the Tally Sheet
input_tally_sheettr50,2024-04-03 15:32:56,Input the Tally Sheet
input_tally_sheettr50,2024-04-05 08:33:44,Input the Tally Sheet
input_tally_sheettr50,2024-04-08 12:42:55,Input the Tally Sheet
input_tally_sheettr50,2024-04-10 08:50:37,Input the Tally Sheet
input_tally_sheettr50,2024-04-11 11:57:43,Input the Tally Sheet
print_w_tickettr50,2024-04-02 11:06:57,Print the Weighing Ticket
print_w_tickettr50,2024-04-03 15:32:56,Print the Weighing Ticket
print_w_tickettr50,2024-04-05 08:33:44,Print the Weighing Ticket
print_w_tickettr50,2024-04-08 12:42:55,Print the Weighing Ticket
print_w_tickettr50,2024-04-10 08:50:37,Print the Weighing Ticket
print_w_tickettr50,2024-04-11 11:57:43,Print the Weighing Ticket
print_w_tickettr42,2024-04-02 11:08:51,Print the Weighing Ticket
print_w_tickettr42,2024-04-04 11:42:49,Print the Weighing Ticket
print_w_tickettr42,2024-04-08 11:47:23,Print the Weighing Ticket
print_w_tickettr42,2024-04-10 10:51:06,Print the Weighing Ticket
